ticker,yf_alias,valid_from,valid_to,reason
GOLD,,9999-01-01,9999-01-01,"Randgold ADR (2011-13 멤버십). 현 yahoo GOLD=Barrick → 전 구간 사용 금지 (다른 법인 가격 오염 방지)"
NWSA,,9999-01-01,9999-01-01,"2010~2013-06 구 News Corp 시대. 현 yahoo NWSA=신 News Corp(2013-06 상장) → 사용 금지"
DELL,,9999-01-01,9999-01-01,"2010~2013-10 구 Dell 시대. 현 yahoo DELL=Dell Technologies(2018 재상장) → 사용 금지"
SNDK,,2025-02-24,,"구 SanDisk(~2016)와 신규 Sandisk(2025~) 동일 티커. 2025-02-24 이후만 유효 (구 시대는 결측 처리)"
RIMM,BB,,,"BlackBerry로 개명(2013). yahoo BB가 RIMM 시대 전체 이력 보유"
WLTW,WTW,,,"Willis Towers Watson → WTW 개명(2022). yahoo WTW가 전체 이력 보유"
DISCA,WBD,,2022-04-08,"Discovery A → WBD 승계. yahoo WBD가 DISCA 시대 이력 보유 (2022-04 이전 구간만 멤버십 시대에 해당)"
VIAB,PSKY|PARA,,,"Viacom B → ViacomCBS → Paramount → Paramount Skydance(PSKY, 2025) 승계. PSKY 우선, PARA 폴백"
SYMC,GEN,,,"Symantec → NortonLifeLock → Gen Digital(GEN) 승계. yahoo GEN이 SYMC 시대 이력 보유"
QRTEA,QVCGA|QRTEA,,,"Qurate Retail → QVC Group(QVCGA, 2025 개명) 승계 시도. 실패 시 QRTEA 폴백"
LMCA,FWONA|STRZA,,,"신 Liberty Media(2013-06~2016) → Formula One Group(FWONA, 2016 개명) 승계 시도"
LIFE,,9999-01-01,9999-01-01,"구 Life Technologies(~2014 인수소멸). 현 yahoo LIFE=aTyr Pharma(재사용) → 사용 금지"
MICC,,9999-01-01,9999-01-01,"구 Millicom 미국 상장분(~2011). 현 yahoo MICC 데이터는 재상장/재사용분 → 사용 금지"
SHLD,,9999-01-01,9999-01-01,"구 Sears Holdings(~2018 파산). 현 yahoo SHLD=재사용 티커 → 사용 금지"
SPLS,,9999-01-01,9999-01-01,"구 Staples(2017 비상장화). 현 yahoo SPLS=재사용 티커 → 사용 금지"
FISV,FI,,,"Fiserv → FI 개명(2023). yahoo FI가 전체 이력 보유"
NLOK,GEN,,,"NortonLifeLock → Gen Digital(GEN) 개명(2022). yahoo GEN이 SYMC/NLOK 시대 이력 보유"
VIP,VEON,,,"VimpelCom → VEON 개명(2017). yahoo VEON ADR이 VIP 시대 이력 보유 (커버리지 실측 확인 필요)"
KRFT,,2012-10-01,2015-07-03,"Kraft Foods Group 시대(2013-03~2015-07 멤버십). yahoo KRFT 상장폐지로 결측 예상 — 실측 확인"
